"Station 
Code","Name Of Monitoring 
Location",State_Name,Temperature,,"Dissolved 
Oxygen 
(mg/L)",,pH,,Conductivity,,BOD,,Nitrate,,Fecal_Coliform,,Total_Coliform,,"Fecal 
Streptococci 
(MPN/100mL)",,DO,Fecal_Streptococci,Target
2667,"RIVER 
HIWARA 
AT  
D/S 
OF 
PACHORA, 
VILLAGE- 
PACHORA,TALUKA- 
JALGAON,DISTRICT- 
JALGAON.",MAHARASHTRA,22.0,25,5,5.3,7.6,7.7,416.0,500,3.8,4.2,0.0,0,6.0,6,46.0,63,4,4,0.0,0.0,Moderate
2674,"RIVER  MOR 
  NEAR 
PADALASHE, 
VILLAGE- 
PADALASHE,TALUKA- 
JALGAON, 
DISTRICT- 
JALGAON.",MAHARASHTRA,21.0,25,5.1,6,7.4,7.7,431.0,608,3.2,3.8,0.0,0.34,4.0,6,43.0,63,0,0,0.0,0.0,Moderate
2710,"RIVER  TITUR  AT    D/S 
OF 
CHALISGAON, 
VILLAGE. 
CHALISGAON,TALUKA. 
JALGAON,DISTRICT. 
JALGAON.",MAHARASHTRA,20.0,26,5.4,5.5,7.4,7.8,461.0,1634,3.6,3.6,0.0,0.33,4.0,4,43.0,48,0,0,0.0,0.0,Moderate
2718,"RIVER  WAGHUR  AT- 
SAKEGAON 
BEFORE 
CONFLUENCE 
WITH 
TAPI RIVER,  VILLAGE- 
SAKEGAON,  TALUKA- 
JALGAON,",MAHARASHTRA,20.0,25,5.4,6.2,7.1,7.7,351.0,505,3.0,3.6,0.0,2.22,4.0,6,46.0,58,0,0,0.0,0.0,Moderate
2684,"RIVER PANZARA NEAR 
PANZARAKAN 
SSK 
LTD, 
VILLAGE- 
PANZARA,TALUKA- 
DHULE,",MAHARASHTRA,16.0,24,5.1,5.9,7.4,8,431.0,965,3.0,4.2,0.0,4.81,4.0,11,43.0,79,0,0,0.0,0.0,Moderate
1913,"RIVER 
PURNA 
AT 
DHUPESHWAR AT U/S 
OF 
MALKAPUR 
WATER 
WORKS, 
MALKAPUR,",MAHARASHTRA,24.0,26,5,6.3,7.8,8.2,890.0,11800,3.0,5,0.0,2.12,17.0,38,140.0,210,0,0,0.0,0.0,Moderate
2155,"RIVER  PURNA  AT  D/S 
OF  CONFLUENCE  OF 
MORNA 
& 
PURNA 
RIVER 
AT 
ANDURA 
VILLAGE, 
VILLAGE-
ANDURA, 
TALUKA- 
BALAPUR,  DISTRICT  - 
AKOLA.",MAHARASHTRA,25.0,26,5.3,5.9,8.1,8.5,980.0,9546,3.5,5.2,0.0,5.33,26.0,41,170.0,210,0,0,0.0,0.0,Moderate
2695,"RIVER  PEDHI 
  NEAR 
ROAD 
BRIDGE 
AT 
DADHI- 
PEDHI 
VILLAGE, 
VILLAGE- 
DADHI- 
PEDHI, 
TALUKA- 
BHATKULI, 
DISTRICT- AMRAVATI.",MAHARASHTRA,12.0,25,2.4,6,7.8,8.3,873.0,13040,3.5,12,0.0,1.92,21.0,33,94.0,140,0,0,0.0,0.0,Moderate
2700,"RIVER  PURNA 
  NEAR 
ACHALPUR- 
AMRAVATI 
ROAD 
BRIDGE, 
VILLAGE- 
ASEGAON,TALUKA- 
CHANDUR 
BAZAR, 
DISTRICT- AMRAVATI.",MAHARASHTRA,15.0,25,5.9,7,7.6,8.5,841.0,12040,3.2,4.2,0.0,0.72,26.0,40,150.0,220,0,0,0.0,0.0,Moderate
1095,"RIVER 
GODAVARI 
AT 
U/S OF GANGAPUR DAM, 
VILLAGE- 
GANGAPUR, 
NASHIK,",MAHARASHTRA,18.0,27,5.6,6.3,7.0,8.1,194.0,3410,3.0,4,0.0,1.49,4.0,4,43.0,63,0,0,0.0,0.0,Moderate
1096,"RIVER  GODAVARI 
  AT 
RAMKUND, 
VILLAGE- 
PANCHAVATI, NASHIK,",MAHARASHTRA,18.0,27,5.6,6,7.3,8.3,290.0,600,3.0,5.6,0.0,2.43,6.0,18,58.0,110,0,0,0.0,0.0,Moderate
1209,"RIVER 
GODAVARI 
AT 
RAHER, 
VILLAGE.RAHER, 
TALUKA. 
NAYAGAON, 
DISTRICT. NANDED.",MAHARASHTRA,18.0,21,4.3,7.3,7.8,8.6,515.0,710,3.2,6.2,0.47,2.58,5.0,12,5.0,40,0,0,0.0,0.0,Moderate
1210,"RIVER  GODAVARI  NEAR 
INTAKE  WATER  PUMP 
HOUSE, 
VILLAGE- 
VISHNUPURI, 
TALUKA- 
NANDED,",MAHARASHTRA,17.0,27,4.2,7.3,8.06,8.6,478.0,698,3.0,6.8,0.38,2.52,2.0,8,6.0,12,0,0,0.0,0.0,Moderate
1211,"RIVER  GODAVARI 
  AT 
D/S  OF  NASHIK  NEAR 
AMARDHAM, 
VILLAGE- 
GADGEBABAMAHARAJ 
NAGAR, NASHIK,",MAHARASHTRA,17.0,28,4.8,5.8,7.2,8.3,300.0,680,3.2,6.8,0.0,2.57,4.0,11,43.0,79,0,0,0.0,0.0,Moderate
1312,"RIVER  GODAVARI 
  AT 
JAIKWADI 
DAM, 
VILLAGE- 
PAITHAN, 
TALUKA- PAITHAN",MAHARASHTRA,22.0,40,6.2,7.5,7.8,8.8,480.0,821,2.4,3.8,0.75,2.59,4.0,4,11.0,12,0,0,0.0,0.0,Clean
2157,"RIVER 
GODAVARI 
AT 
LATUR  WATER  INTAKE 
NEAR 
PUMP 
HOUSE. 
VILLAGE.  DHAMEGAON, 
TALUKA. 
KALUMB, 
DISTRICT. OSMANABAD.",MAHARASHTRA,18.0,21,5.1,7.7,7.0,8.5,369.0,615,2.2,6,0.59,1.62,5.0,5,0.0,0,14,14,0.0,0.0,Clean
2158,"RIVER 
GODAVARI 
AT 
U/S  OF 
PAITHAN 
AT 
PAITHAN INTAKE PUMP 
HOUSE, 
VILLAGE- 
JAYAKWADI, 
TALUKA- 
PAITHAN,",MAHARASHTRA,22.0,40,3.6,7.5,7.31,8.8,491.0,5984,2.2,7,0.47,2.54,2.0,2,9.0,12,0,0,0.0,0.0,Clean
2159,"RIVER 
GODAVARI 
AT 
D/S  OF 
PAITHAN 
AT 
PATHEGAON 
BRIDGE, 
VILLAGE-  PATHEGAON, 
TALUKA- 
PAITHAN, 
DISTRICT- 
AURANGABAD.",MAHARASHTRA,22.0,40,5.5,7.4,8.1,8.8,463.0,727,2.4,5.8,0.0,2.5,4.0,4,12.0,12,0,0,0.0,0.0,Clean
2160,"RIVER 
GODAVARI 
AT 
U/S  OF  AURANGABAD 
RESERVOIR,KAIGAON 
TOKKA  NEAR  KAIGAON 
BRIDGE,VILLAGE- 
KAIGAON,TALUKA- 
GANGAPUR, 
DISTRICT- 
AURANGABAD.",MAHARASHTRA,22.0,40,5.1,7.6,7.58,8.8,470.0,712,2.4,5.4,0.61,2.46,2.0,4,8.0,23,0,0,0.0,0.0,Clean
2161,"RIVER 
GODAVARI 
AT 
JALNA 
INTAKE  WATER 
PUMP  HOUSE,  VILLAGE- 
SHAHABAD, 
TALUKA- 
AMBAD, 
DISTRICT- 
JALNA.",MAHARASHTRA,24.0,32,5.1,7.3,7.6,9.1,338.0,1623,2.8,5.8,0.0,1.6,2.0,9,9.0,110,0,0,0.0,0.0,Clean
2177,"RIVER GODAVARI  NEAR 
SOMESHWAR 
TEMPLE, 
VILLAGE-  SOMESHWAR, 
TALUKA- 
NASHIK, 
DISTRICT- NASHIK.",MAHARASHTRA,17.0,27,5.5,6.2,7.0,7.9,215.0,590,3.0,4.2,0.0,2.4,4.0,11,43.0,79,0,0,0.0,0.0,Moderate
2179,"RIVER  GODAVARI 
  AT 
HANUMAN 
GHAT, 
VILLAGE-  NASHIK  CITY, 
TALUKA- 
NASHIK, 
DISTRICT- NASHIK.",MAHARASHTRA,17.0,27,4.5,6,7.1,8.3,320.0,710,3.2,5.8,0.0,2.54,4.0,11,43.0,70,0,0,0.0,0.0,Moderate
2180,"RIVER  GODAVARI 
  AT 
TAPOVAN,VILLAGE- 
TAPOVAN, 
TALUKA- 
NASHIK, 
DISTRICT- 
NASHIK.",MAHARASHTRA,18.0,27,3.8,5.9,7.2,8.3,314.0,714,3.4,5.2,0.0,2.4,4.0,13,46.0,120,0,0,0.0,0.0,Moderate
2181,"RIVER  GODAVARI 
  AT 
KAPILA- 
GODAVARI 
CONFLUENCE 
POINT,  
VILLAGE- TAPOVAN,",MAHARASHTRA,17.0,27,4.5,5.9,7.2,8.4,311.0,710,3.4,5.2,0.0,2.2,4.0,11,43.0,70,0,0,0.0,0.0,Moderate
2182,"RIVER 
GODAVARI 
AT 
SAIKHEDA 
VILLAGE,  
VILLAGE- 
SAIKHEDA, 
TALUKA- NIPHAD,",MAHARASHTRA,17.0,28,5.2,6.2,7.2,8.1,254.0,818,3.0,3.8,0.0,3.06,4.0,13,43.0,84,1.8,1.8,0.0,0.0,Moderate
2183,"RIVER 
GODAVARI 
AT 
NANDUR-
MADHMESHWAR 
DAM, 
VILLAGE- 
NANDUR, 
TALUKA- NIPHAD",MAHARASHTRA,17.0,27,5.5,6.3,7.2,8,212.0,806,3.0,3.6,0.0,3.14,4.0,6,43.0,63,0,0,0.0,0.0,Moderate
30049,"RIVER 
GODAVARI 
AT 
BELUR,DHARMADABAD, 
NANDED",MAHARASHTRA,26.0,26,4.9,4.9,7.9,7.9,568.0,568,8.6,8.6,1.61,1.61,9.0,9,195.0,195,4,4,0.0,0.0,Polluted
11,"RIVER WAINGANGA AT ASHTI, 
VILLAGE. 
ASHTI, 
TALUKA. 
GONDPIPRI, 
DISTRICT.CHANDRAPUR.",MAHARASHTRA,18.0,25,4.6,6.2,7.6,8.6,514.0,1345,3.4,6.8,0.0,1.45,17.0,40,110.0,280,0,0,0.0,0.0,Moderate
2172,"RIVER WAINGANGA  AT D/S OF 
ELLORA 
PAPER 
MILLS, 
VILLAGE.  TUMSAR, 
TALUKA. 
TUMSAR, BHANDARA.",MAHARASHTRA,18.0,28,5.2,6.3,7.9,8.6,527.0,1927,3.2,4.8,0.0,1.38,13.0,40,120.0,430,0,0,0.0,0.0,Moderate
2173,"RIVER WAINGANGA AT U/S OF 
ELLORA 
PAPER 
MILLS, 
VILLAGE.  TUMSAR, 
TALUKA. 
TUMSAR, BHANDARA.",MAHARASHTRA,18.0,28,4.9,6.6,7.4,8.6,480.0,1253,2.8,5.4,0.0,1.31,11.0,47,120.0,1110,0,0,0.0,0.0,Clean
2175,"RIVER WAINGANGA AT U/S OF 
GAURAV  PAPER  MILLS,  NEAR 
JACKWELL, 
 
VILLAGE. 
BRAMHPURI, 
TALUKA. 
CHANDRAPUR,",MAHARASHTRA,19.0,24,5.8,6.6,7.1,8.7,540.0,8960,2.8,4.5,0.0,1.88,9.0,46,110.0,430,0,0,0.0,0.0,Clean
2176,"RIVER WAINGANGA AT D/S OF 
GAURAV  PAPER  MILLS,  NEAR 
JACKWELL, 
 
VILLAGE. 
BRAMHPURI, 
TALUKA. 
CHANDRAPUR,",MAHARASHTRA,20.0,24,5.3,6.3,7.6,8.6,565.0,8419,3.0,4.9,0.0,1.75,10.0,58,130.0,540,0,0,0.0,0.0,Moderate
1910,"RIVER  WAINGANGA 
  AFTER 
CONFLUENCE  WITH  KANHAN 
RIVER, 
VILLAGE- 
AMBHORA,TALUKA- 
KUHI, 
DISTRICT- NAGPUR.",MAHARASHTRA,16.0,30,5.4,6.5,7.5,8.5,594.0,1042,3.2,5.8,0.0,6.32,12.0,34,110.0,280,0,0,0.0,0.0,Moderate
30041,"RIVER 
WAINGANGA 
AT 
BAPERA, 
BHANDARA, 
(MAHARASHTRA)",MAHARASHTRA,27.0,27,7,7,8.4,8.4,780.0,780,3.0,3,0.32,0.32,17.0,17,110.0,110,-,-,0.0,0.0,Moderate
2174,"RIVER WARDHA AT D/S OF ACC 
LTD. 
GHUGGUS  NEAR  WCL 
PUMP 
HOUSE, 
VILLAGE- 
GHUGGUS, 
TALUKA- 
CHANDRAPUR,",MAHARASHTRA,19.0,23,5.2,6.2,7.8,8.7,607.0,9710,3.0,5.2,0.0,1.64,9.0,49,120.0,350,0,0,0.0,0.0,Moderate
1212,"RIVER  WARDHA  AT  RAJURA 
BRIDGE, 
VILLAGE- 
RAJURA, 
TALUKA- CHANDRAPUR",MAHARASHTRA,19.0,22,5.5,6.4,7.8,8.5,530.0,1081,3.2,5.2,0.0,2.19,10.0,48,140.0,280,0,0,0.0,0.0,Moderate
1315,"RIVER  WARDHA  AT  PULGAON 
RAILWAY  BRIDGE,  VILLAGE- 
PULGAON,TALUKA  -  WARDHA, 
DISTRICT- WARDHA.",MAHARASHTRA,15.0,20,5.7,6.4,8.2,8.6,755.0,1180,3.1,4.6,0.0,3.68,13.0,32,110.0,210,0,0,0.0,0.0,Moderate
2156,"RIVER 
WARDHA 
 
AT 
CONFLUENCE 
POINT 
OF 
PENGANGA 
& 
WARDHA. 
VILLAGE. 
JUGAD, 
TALUKA. 
WANI, DISTRICT. YAVATMAL.",MAHARASHTRA,19.0,23,5,6.2,7.8,8.7,626.0,10460,3.2,5,0.0,1.09,4.0,34,110.0,220,0,0,0.0,0.0,Moderate
2719,"RIVER  WARDHA  AT  D/S  OF 
ERAI RIVER AT HADASTI NEAR 
ARUN ENGG. WORKS, VILLAGE- 
HADASTI, 
TALUKA- 
CHANDRAPUR,",MAHARASHTRA,19.0,23,5.8,6.3,7.2,8.3,639.0,1527,3.1,4.5,0.0,1.14,12.0,48,110.0,430,0,0,0.0,0.0,Moderate
2720,"RIVER  WARDHA  AT  U/S  OF 
ERAI RIVER AT HADASTI NEAR 
ARUN ENGG. WORKS, VILLAGE- 
HADASTI, 
TALUKA- 
CHANDRAPUR,",MAHARASHTRA,19.0,20,6,6.6,7.3,8.4,620.0,1349,3.0,4,0.0,1.51,4.0,41,84.0,280,0,0,0.0,0.0,Moderate
2721,"RIVER  WARDHA 
  AT  U/S  OF 
ACC LTD. GHUGGUS NEAR WCL 
PUMP 
HOUSE, 
VILLAGE- 
GHUGGUS, 
TALUKA- 
CHANDRAPUR,",MAHARASHTRA,19.0,20,5.5,6.4,7.8,8.6,627.0,1072,3.0,5,0.0,1.84,7.0,38,94.0,280,0,0,0.0,0.0,Moderate
1908,"RIVER 
KOLAR 
BEFORE 
CONFLUENCE  WITH  KANHAN 
RIVER AT WAREGAON BRIDGE, 
VILLAGE- 
WAREGAON, 
TALUKA-KAMPTEE, NAGPUR.",MAHARASHTRA,15.0,35,5.1,6.4,7.8,8.7,598.0,2084,3.0,6.5,0.0,2.65,5.0,32,94.0,210,0,0,0.0,0.0,Moderate
1909,"RIVER  KANHAN  AT  D/S  OF 
NAGPUR, 
VILLAGE- 
AGARGAON, 
TALUKA- 
KUHI, 
DISTRICT- NAGPUR.",MAHARASHTRA,16.0,30,3,6.3,7.4,8.3,610.0,14442,3.4,9,0.0,6.26,12.0,41,120.0,350,0,0,0.0,0.0,Moderate
2170,"RIVER KANHAN AT U/S OF M/S 
VIDARBHA 
PAPER 
MILLS, 
VILLAGE- 
SINORA, 
TALUKA- 
PARSEONI, NAGPUR.",MAHARASHTRA,18.0,35,4.8,6.7,7.8,8.8,682.0,1189,2.8,6,0.0,3.39,4.0,34,70.0,170,0,0,0.0,0.0,Clean
2171,"RIVER KANHAN AT D/S OF M/S 
VIDARBHA 
PAPER 
MILLS,  
VILLAGE- 
SINORA, 
TALUKA- 
PARSEONI, NAGPUR.",MAHARASHTRA,19.0,35,4,6.6,7.6,8.6,739.0,1122,3.2,6.5,0.0,3.31,6.0,40,84.0,280,0,0,0.0,0.0,Moderate
2657,"RIVER  BINDUSARA    AT  BEED, 
NEAR  INTAKE  WATER  PUMP 
HOUSE 
AT 
DAM, 
VILLAGE- 
PALIGAON, TALUKA- BEED,",MAHARASHTRA,25.0,35,4.7,7.4,7.7,9.1,344.0,1627,2.6,6.2,0.0,5.6,2.0,12,6.0,170,0,0,0.0,0.0,Clean
2660,"RIVER  DARNA  AT  CHEHEDI 
WATER  WORKS 
(PUMPING 
STATION), VILLAGE- CHEHEDI, 
TALUKA- NASHIK,",MAHARASHTRA,17.0,28,5.5,6,7.4,8.2,171.0,476,3.0,3.8,0.0,2.81,4.0,6,40.0,63,0,0,0.0,0.0,Moderate
2661,"RIVER  DARNA  AT  ASWALI  ( 
DARNA 
DAM),VILLAGE- 
ASWALI,TALUKA- 
IGATPURI,DISTRICT- NASHIK.",MAHARASHTRA,17.0,28,5.7,6.2,7.2,8.1,117.0,1250,3.0,3.6,0.0,1.56,4.0,11,43.0,70,0,0,0.0,0.0,Moderate
2662,"RIVER  DARNA 
  AT  MES  SITE 
PUMPING  STATION,  VILLAGE- 
BHAGUR, TALUKA- NASHIK,",MAHARASHTRA,17.0,27,5.4,6,7.2,8.1,152.0,376,3.2,3.8,0.0,2.17,4.0,6,5.0,48,0,0,0.0,0.0,Moderate
2663,"RIVER  DARNA 
AT 
BHAGUR 
PUMPING 
STATION 
NEAR 
PANDHURLI BRIDGE, VILLAGE- 
BHAGUR, TALUKA-NASHIK,",MAHARASHTRA,18.0,27,5,6.2,7.0,8.2,160.0,390,3.0,3.8,0.0,2.42,4.0,4,43.0,48,0,0,0.0,0.0,Moderate
2664,"RIVER  DARNA  AT 
SANSARI, 
VILLAGE- 
SANSARI,TALUKA- 
NASHIK, DISTRICT- NASHIK.",MAHARASHTRA,18.0,28,5.5,6,7.0,8.1,161.0,520,3.4,3.8,0.0,2.71,4.0,6,46.0,63,0,0,0.0,0.0,Moderate
2673,"RIVER  MANJRA 
  AT  D/S  OF 
LATUR, NEAR LATUR- NANDED 
BRIDGE, 
VILLAGE- 
BHATKHEDA, TALUKA- LATUR,",MAHARASHTRA,20.0,23,4.4,7.6,7.9,8.5,393.0,685,3.2,6.8,0.44,2.42,0.0,0,2.0,2,0,0,0.0,0.0,Moderate
2675,"RIVER 
MORNA 
D/S 
OF 
RAILWAY BRIDGE AKOLA",MAHARASHTRA,24.0,26,5,6.3,7.2,8.2,1011.0,8234,3.6,6.8,0.0,6.45,21.0,41,220.0,350,0,0,0.0,0.0,Moderate
2697,"RIVER 
PENGANGA 
NEAR 
WATER  SUPPLY  SCHEME  OF 
UMARKHED 
M.C., 
VILLAGE. 
BELKHED, 
TALUKA. 
UMARKHED, YAVATMAL.",MAHARASHTRA,20.0,24,5.7,6.3,7.6,8.4,597.0,6074,3.0,4.6,0.0,1.37,2.0,32,70.0,170,0,0,0.0,0.0,Moderate
2698,"RIVER  PENGANGA 
  D/S  OF 
ISAPUR 
DAM, 
VILLAGE- 
ISAPUR,TALUKA- 
PUSAD, 
DISTRICT- YAVATMAL.",MAHARASHTRA,19.0,23,5.1,6.2,7.7,8.6,610.0,1390,3.0,5.2,0.0,1.32,6.0,38,110.0,220,0,0,0.0,0.0,Moderate
2699,"RIVER 
PENGANGA 
 
AT 
MEHKAR 
-BULDANA 
ROAD 
BRIDGE, 
VILLAGE-MEHKAR, 
TALUKA-MEHKAR, AKOLA.",MAHARASHTRA,24.0,25,5.1,6.6,8.2,8.4,740.0,1327,3.0,6.2,0.0,4.64,26.0,34,130.0,280,0,0,0.0,0.0,Moderate
2722,"RIVER  WENA 
AT 
U/S 
OF 
MOHATA 
MILLS, 
NEAR 
RAILWAY 
BRIDGE 
ON 
WARDHA, 
CHANDRAPUR 
RAILWAY 
LINE, 
VILLAGE- 
HINGANGHAT, 
TALUKA- 
HINGANGHAT, WARDHA.",MAHARASHTRA,16.0,30,6,6.7,7.3,8.6,635.0,1117,2.8,4.4,0.0,4.14,11.0,48,110.0,280,0,0,0.0,0.0,Clean
2723,"RIVER  WENA 
AT 
D/S 
OF 
MOHATA MILLS, NEAR  BRIDGE 
ON  HINGANGHAT-  WADNER 
ROAD, 
 
VILLAGE- 
HINGANGHAT, 
TALUKA- 
HINGANGHAT,  WARDHA.",MAHARASHTRA,16.0,30,5.8,6.5,7.5,8.6,680.0,6776,3.0,5,0.0,3.21,14.0,43,140.0,350,0,0,0.0,0.0,Moderate
1906,"RIVER 
KRISHNA 
AT 
WALWA, D/S OF ISLAMPUR 
NEAR 
VITHAL 
TEMPLE, 
VILLAGE- 
WALWA, 
TALUKA- 
WALWA, 
DISTRICT- SANGLI.",MAHARASHTRA,26.0,31,6,7.2,7.7,8.5,309.0,975,1.6,2.2,0.68,4.63,4.0,8,14.0,32,0,0,0.0,0.0,Clean
2187,"RIVER 
KRISHNA 
AT 
KSHETRA 
MAHULI, 
VILLAGE- 
KSHETRA-
MAHULI,TALUKA-  MAHULI, 
DISTRICT- SATARA.",MAHARASHTRA,20.0,28,5,6.2,7.6,8.7,153.0,649,2.2,7,1.63,4.45,10.0,20,120.0,275,6,8,0.0,0.0,Clean
2188,"RIVER 
KRISHNA 
 
AT 
KRISHNA-  VENNA  SANGAM 
MAHULI 
, 
VILLAGE- 
MAHULI,TALUKA-  MAHULI, 
DISTRICT- SATARA.",MAHARASHTRA,24.0,28,4.6,6.3,7.8,8.6,237.0,644,2.2,7.4,1.37,4.21,8.0,30,120.0,250,4,9,0.0,0.0,Clean
2190,"RIEVR 
KRISHNA 
AT 
GANPATI 
GHAT, 
WAI, 
VILLAGE- 
WAI,TALUKA- 
WAI,DISTRICT- SATARA.",MAHARASHTRA,22.0,29,4.8,6.4,7.6,8.5,249.0,483,2.2,7.5,1.14,4.71,8.0,25,120.0,250,4,8,0.0,0.0,Clean
1153,"RIVER 
KRISHNA 
AT 
RAJAPUR  WEIR,  VILLAGE. 
RAJAPUR, TALUKA. SHIROL, 
DISTRICT. KOLHAPUR.",MAHARASHTRA,26.0,27,5.5,7.3,7.2,8.2,116.0,804,1.6,2.2,1.09,4.13,4.0,10,17.0,40,0,0,0.0,0.0,Clean
1194,"RIVER  KRISHNA  AT  DHOM 
DAM, 
VILLAGE- 
WAI, 
TALUKA-
MAHABALESHWAR, 
SATARA.",MAHARASHTRA,21.0,29,5.9,6.8,7.3,8.4,79.0,153,2.0,3,0.0,0,6.0,10,70.0,150,2,6,0.0,0.0,Clean
36,"RIVER  KRISHNA  AT  OLD  
KRISHNA  BRIDGE,  KARAD 
STATION  ROAD 
,  KARAD, 
TALUKA- 
KARAD, 
DISTRICT- SATARA.",MAHARASHTRA,22.5,30,4.8,6.5,7.5,8.7,78.0,551,2.0,8,0.0,3.23,8.0,30,130.0,275,4,12,0.0,0.0,Clean
37,"RIVER 
KRISHNA 
AT 
MAIGHAT, 
VILLAGE- 
GAWALI  GALLY,  TALUKA- 
MIRAJ,  DISTRICT- SANGLI.",MAHARASHTRA,26.0,28,5.7,7.3,7.7,8.4,308.0,5872,1.5,2.4,0.75,5.53,3.0,9,12.0,33,0,0,0.0,0.0,Clean
1310,"RIVER 
KRISHNA 
AT 
KURUNDWAD 
NEAR 
SANTAJI  GHORPADE  GHAT, 
VILLAGE.NARSHINGWADI, 
KURUNDWAD, 
TALUKA. 
SHIROL,  KOLHAPUR.",MAHARASHTRA,26.0,30,5.6,6.8,7.2,8.3,136.0,3887,1.4,2.2,1.12,4.65,5.0,9,20.0,39,0,0,0.0,0.0,Clean
1311,"RIVER  PANCHAGANGA  AT 
ICHALKARANJI 
NEAR 
MIDC 
INTAKE 
WELL. 
VILLAGE. 
SHIRADHWAD  
(ICHALKARANJI 
GHAT), 
TALUKA.HATKANANGALE,",MAHARASHTRA,26.0,27,4.9,6.9,6.9,8.2,126.0,782,1.8,2.6,1.22,5.9,4.0,11,20.0,38,0,0,0.0,0.0,Clean
2163,"RIVER  PANCHAGANGA  AT 
SHIROL 
NEAR 
SHIROL 
INTAKE  WELL,  VILLAGE- 
SHIROL, TALUKA- SHIROL,",MAHARASHTRA,25.0,28,5,7.3,7.1,8.1,117.0,1156,1.4,2.4,0.0,4.37,6.0,9,20.0,38,0,0,0.0,0.0,Clean
1904,"RIVER  PANCHAGANGA  AT 
U/S OF KOLHAPUR TOWN 
NEAR  BALINGA  PUMPING 
STATION, 
VILLAGE-
BALINGA, 
TALUKA- 
KARVIR, KOLHAPUR.",MAHARASHTRA,26.0,26,5.7,7.3,7.1,8.3,87.0,3662,1.8,2.2,0.49,2.76,4.0,12,14.0,34,0,0,0.0,0.0,Clean
